pokemon,dex_number,type1,type2,generation,stage,evolves_from
crabrawler,739,fighting,,VII,1,
crabominable,740,fighting,ice,VII,2,crabrawler
oricorio,741,fire,flying,VII,1,
cutiefly,742,bug,fairy,VII,1,
ribombee,743,bug,fairy,VII,2,cutiefly
rockruff,744,rock,,VII,1,
lycanroc,745,rock,,VII,2,rockruff
wishiwashi,746,water,,VII,1,
mareanie,747,poison,water,VII,1,
toxapex,748,poison,water,VII,2,mareanie
mudbray,749,ground,,VII,1,
mudsdale,750,ground,,VII,2,mudbray
dewpider,751,water,bug,VII,1,
araquanid,752,water,bug,VII,2,dewpider
fomantis,753,grass,,VII,1,
lurantis,754,grass,,VII,2,fomantis
morelull,755,grass,fairy,VII,1,
shiinotic,756,grass,fairy,VII,2,morelull
salandit,757,poison,fire,VII,1,
salazzle,758,poison,fire,VII,2,salandit
stufful,759,normal,fighting,VII,1,
bewear,760,normal,fighting,VII,2,stufful
bounsweet,761,grass,,VII,1,
steenee,762,grass,,VII,2,bounsweet
tsareena,763,grass,,VII,3,steenee
comfey,764,fairy,,VII,1,
oranguru,765,normal,psychic,VII,1,
passimian,766,fighting,,VII,1,
wimpod,767,bug,water,VII,1,
golisopod,768,bug,water,VII,2,wimpod
sandygast,769,ghost,ground,VII,1,
palossand,770,ghost,ground,VII,2,sandygast
pyukumuku,771,water,,VII,1,
type-null,772,normal,,VII,1,
silvally,773,normal,,VII,2,type-null
minior,774,rock,flying,VII,1,
komala,775,normal,,VII,1,
turtonator,776,fire,dragon,VII,1,
togedemaru,777,electric,steel,VII,1,
mimikyu,778,ghost,fairy,VII,1,
bruxish,779,water,psychic,VII,1,
drampa,780,normal,dragon,VII,1,
dhelmise,781,ghost,grass,VII,1,
jangmo-o,782,dragon,,VII,1,
hakamo-o,783,dragon,fighting,VII,2,jangmo-o
kommo-o,784,dragon,fighting,VII,3,hakamo-o
tapu-koko,785,electric,fairy,VII,1,
tapu-lele,786,psychic,fairy,VII,1,
tapu-bulu,787,grass,fairy,VII,1,
tapu-fini,788,water,fairy,VII,1,
cosmog,789,psychic,,VII,1,
cosmoem,790,psychic,,VII,2,cosmog
solgaleo,791,psychic,steel,VII,3,cosmoem
lunala,792,psychic,ghost,VII,3,cosmoem
nihilego,793,rock,poison,VII,1,
buzzwole,794,bug,fighting,VII,1,
pheromosa,795,bug,fighting,VII,1,
xurkitree,796,electric,,VII,1,
celesteela,797,steel,flying,VII,1,
kartana,798,grass,steel,VII,1,
guzzlord,799,dark,dragon,VII,1,
necrozma,800,psychic,,VII,1,
magearna,801,steel,fairy,VII,1,
marshadow,802,fighting,ghost,VII,1,
poipole,803,poison,,VII,1,
naganadel,804,poison,dragon,VII,2,poipole
stakataka,805,rock,steel,VII,1,
blacephalon,806,fire,ghost,VII,1,
zeraora,807,electric,,VII,1,
meltan,808,steel,,VII,1,
melmetal,809,steel,,VII,1,
grookey,810,grass,,VIII,1,
thwackey,811,grass,,VIII,2,grookey
rillaboom,812,grass,,VIII,3,thwackey
scorbunny,813,fire,,VIII,1,
raboot,814,fire,,VIII,2,scorbunny
cinderace,815,fire,,VIII,3,raboot
sobble,816,water,,VIII,1,
drizzile,817,water,,VIII,2,sobble
inteleon,818,water,,VIII,3,drizzile
skwovet,819,normal,,VIII,1,
greedent,820,normal,,VIII,2,skwovet
rookidee,821,flying,,VIII,1,
corvisquire,822,flying,,VIII,2,rookidee
corviknight,823,flying,steel,VIII,3,corvisquire
blipbug,824,bug,,VIII,1,
dottler,825,bug,psychic,VIII,2,blipbug
orbeetle,826,bug,psychic,VIII,3,dottler
nickit,827,dark,,VIII,1,
thievul,828,dark,,VIII,2,nickit
gossifleur,829,grass,,VIII,1,
eldegoss,830,grass,,VIII,2,gossifleur
wooloo,831,normal,,VIII,1,
dubwool,832,normal,,VIII,2,wooloo
chewtle,833,water,,VIII,1,
drednaw,834,water,rock,VIII,2,chewtle
yamper,835,electric,,VIII,1,
boltund,836,electric,,VIII,2,yamper
rolycoly,837,rock,,VIII,1,
carkol,838,rock,fire,VIII,2,rolycoly
coalossal,839,rock,fire,VIII,3,carkol
applin,840,grass,dragon,VIII,1,
flapple,841,grass,dragon,VIII,2,applin
appletun,842,grass,dragon,VIII,2,applin
silicobra,843,ground,,VIII,1,
sandaconda,844,ground,,VIII,2,silicobra
cramorant,845,flying,water,VIII,1,
arrokuda,846,water,,VIII,1,
barraskewda,847,water,,VIII,2,arrokuda
toxel,848,electric,poison,VIII,1,
toxtricity,849,electric,poison,VIII,2,toxel
sizzlipede,850,fire,bug,VIII,1,
centiskorch,851,fire,bug,VIII,2,sizzlipede
clobbopus,852,fighting,,VIII,1,
grapploct,853,fighting,,VIII,2,clobbopus
sinistea,854,ghost,,VIII,1,
polteageist,855,ghost,,VIII,2,sinistea
hatenna,856,psychic,,VIII,1,
hattrem,857,psychic,,VIII,2,hatenna
hatterene,858,psychic,fairy,VIII,3,hattrem
impidimp,859,dark,fairy,VIII,1,
morgrem,860,dark,fairy,VIII,2,impidimp
grimmsnarl,861,dark,fairy,VIII,3,morgrem
obstagoon,862,dark,normal,VIII,3,linoone
perrserker,863,steel,,VIII,2,meowth
cursola,864,ghost,,VIII,2,corsola
sirfetch'd,865,fighting,,VIII,2,farfetchd
mr.rime,866,ice,psychic,VIII,2,mr.mime
runerigus,867,ground,ghost,VIII,2,yamask
milcery,868,fairy,,VIII,1,
alcremie,869,fairy,,VIII,2,milcery
falinks,870,fighting,,VIII,1,
pincurchin,871,electric,,VIII,1,
snom,872,ice,bug,VIII,1,
frosmoth,873,ice,bug,VIII,2,snom
stonjourner,874,rock,,VIII,1,
eiscue,875,ice,,VIII,1,
indeedee,876,psychic,normal,VIII,1,
morpeko,877,electric,dark,VIII,1,
cufant,878,steel,,VIII,1,
copperajah,879,steel,,VIII,2,cufant
dracozolt,880,electric,dragon,VIII,1,
arctozolt,881,electric,ice,VIII,1,
dracovish,882,water,dragon,VIII,1,
arctovish,883,water,ice,VIII,1,
duraludon,884,steel,dragon,VIII,1,
dreepy,885,dragon,ghost,VIII,1,
drakloak,886,dragon,ghost,VIII,2,dreepy
dragapult,887,dragon,ghost,VIII,3,drakloak
zacian,888,fairy,,VIII,1,
zamazenta,889,fighting,,VIII,1,
eternatus,890,poison,dragon,VIII,1,
kubfu,891,fighting,,VIII,1,
urshifu,892,fighting,dark,VIII,2,kubfu
zarude,893,dark,grass,VIII,1,
regieleki,894,electric,,VIII,1,
regidrago,895,dragon,,VIII,1,
glastrier,896,ice,,VIII,1,
spectrier,897,ghost,,VIII,1,
calyrex,898,psychic,grass,VIII,1,
wyrdeer,899,normal,psychic,VIII,2,stantler
kleavor,900,bug,rock,VIII,2,scyther
ursaluna,901,ground,normal,VIII,3,ursaring
basculegion,902,water,ghost,VIII,2,basculin
sneasler,903,fighting,poison,VIII,2,sneasel
overqwil,904,dark,poison,VIII,2,qwilfish
enamorus,905,fairy,flying,VIII,1,
sprigatito,906,grass,,IX,1,
floragato,907,grass,,IX,2,sprigatito
meowscarada,908,grass,dark,IX,3,floragato
fuecoco,909,fire,,IX,1,
crocalor,910,fire,,IX,2,fuecoco
skeledirge,911,fire,ghost,IX,3,crocalor
quaxly,912,water,,IX,1,
quaxwell,913,water,,IX,2,quaxly
quaquaval,914,water,fighting,IX,3,quaxwell
lechonk,915,normal,,IX,1,
oinkologne,916,normal,,IX,2,lechonk
tarountula,917,bug,,IX,1,
spidops,918,bug,,IX,2,tarountula
nymble,919,bug,,IX,1,
lokix,920,bug,dark,IX,2,nymble
pawmi,921,electric,,IX,1,
pawmo,922,electric,fighting,IX,2,pawmi
pawmot,923,electric,fighting,IX,3,pawmo
tandemaus,924,normal,,IX,1,
maushold,925,normal,,IX,2,tandemaus
fidough,926,fairy,,IX,1,
dachsbun,927,fairy,,IX,2,fidough
smoliv,928,grass,normal,IX,1,
dolliv,929,grass,normal,IX,2,smoliv
arboliva,930,grass,normal,IX,3,dolliv
squawkabilly,931,normal,flying,IX,1,
nacli,932,rock,,IX,1,
naclstack,933,rock,,IX,2,nacli
garganacl,934,rock,,IX,3,naclstack
charcadet,935,fire,,IX,1,
armarouge,936,fire,psychic,IX,2,charcadet
ceruledge,937,fire,ghost,IX,2,charcadet
tadbulb,938,electric,,IX,1,
bellibolt,939,electric,,IX,2,tadbulb
wattrel,940,electric,flying,IX,1,
kilowattrel,941,electric,flying,IX,2,wattrel
maschiff,942,dark,,IX,1,
mabosstiff,943,dark,,IX,2,maschiff
shroodle,944,poison,normal,IX,1,
grafaiai,945,poison,normal,IX,2,shroodle
bramblin,946,grass,ghost,IX,1,
brambleghast,947,grass,ghost,IX,2,bramblin
toedscool,948,ground,grass,IX,1,
toedscruel,949,ground,grass,IX,2,toedscool
klawf,950,rock,,IX,1,
capsakid,951,grass,,IX,1,
scovillain,952,grass,fire,IX,2,capsakid
rellor,953,bug,,IX,1,
rabsca,954,bug,psychic,IX,2,rellor
flittle,955,psychic,,IX,1,
espathra,956,psychic,,IX,2,flittle
tinkatink,957,fairy,steel,IX,1,
tinkatuff,958,fairy,steel,IX,2,tinkatink
tinkaton,959,fairy,steel,IX,3,tinkatuff
wiglett,960,water,,IX,1,
wugtrio,961,water,,IX,2,wiglett
bombirdier,962,flying,dark,IX,1,
finizen,963,water,,IX,1,
palafin,964,water,,IX,2,finizen
varoom,965,steel,poison,IX,1,
revavroom,966,steel,poison,IX,2,varoom
cyclizar,967,dragon,normal,IX,1,
orthworm,968,steel,,IX,1,
glimmet,969,rock,poison,IX,1,
glimmora,970,rock,poison,IX,2,glimmet
greavard,971,ghost,,IX,1,
houndstone,972,ghost,,IX,2,greavard
flamigo,973,flying,fighting,IX,1,
cetoddle,974,ice,,IX,1,
cetitan,975,ice,,IX,2,cetoddle
veluza,976,water,psychic,IX,1,
dondozo,977,water,,IX,1,
tatsugiri,978,dragon,water,IX,1,
annihilape,979,fighting,ghost,IX,3,primeape
clodsire,980,poison,ground,IX,2,wooper
farigiraf,981,normal,psychic,IX,2,girafarig
dudunsparce,982,normal,,IX,2,dunsparce
kingambit,983,dark,steel,IX,3,bisharp
great-tusk,984,ground,fighting,IX,1,
scream-tail,985,fairy,psychic,IX,1,
brute-bonnet,986,grass,dark,IX,1,
flutter-mane,987,ghost,fairy,IX,1,
slither-wing,988,bug,fighting,IX,1,
sandy-shocks,989,electric,ground,IX,1,
iron-treads,990,ground,steel,IX,1,
iron-bundle,991,ice,water,IX,1,
iron-hands,992,fighting,electric,IX,1,
iron-jugulis,993,dark,flying,IX,1,
iron-moth,994,fire,poison,IX,1,
iron-thorns,995,rock,electric,IX,1,
frigibax,996,dragon,ice,IX,1,
arctibax,997,dragon,ice,IX,2,frigibax
baxcalibur,998,dragon,ice,IX,3,arctibax
gimmighoul,999,ghost,,IX,1,
gholdengo,1000,steel,ghost,IX,2,gimmighoul
wo-chien,1001,dark,grass,IX,1,
chien-pao,1002,dark,ice,IX,1,
ting-lu,1003,dark,ground,IX,1,
chi-yu,1004,dark,fire,IX,1,
roaring-moon,1005,dragon,dark,IX,1,
iron-valiant,1006,fairy,fighting,IX,1,
koraidon,1007,fighting,dragon,IX,1,
miraidon,1008,electric,dragon,IX,1,
walking-wake,1009,water,dragon,IX,1,
iron-leaves,1010,grass,psychic,IX,1,
dipplin,1011,grass,dragon,IX,2,applin
poltchageist,1012,grass,ghost,IX,1,
sinistcha,1013,grass,ghost,IX,2,poltchageist
okidogi,1014,poison,fighting,IX,1,
munkidori,1015,poison,psychic,IX,1,
fezandipiti,1016,poison,fairy,IX,1,
ogerpon,1017,grass,,IX,1,
archaludon,1018,steel,dragon,IX,2,duraludon
hydrapple,1019,grass,dragon,IX,3,dipplin
gouging-fire,1020,fire,dragon,IX,1,
raging-bolt,1021,electric,dragon,IX,1,
iron-boulder,1022,rock,psychic,IX,1,
iron-crown,1023,steel,psychic,IX,1,
terapagos,1024,normal,,IX,1,
pecharunt,1025,poison,ghost,IX,1,
